match_no,provider,collected_at,home_odds,draw_odds,away_odds,source_url
73,FanDuel via FOX Sports,2026-06-28T00:00:00Z,5.70,3.50,1.689655,https://www.foxsports.com/stories/soccer/2026-world-cup-round-32-odds
76,FanDuel via FOX Sports,2026-06-28T00:00:00Z,1.689655,3.90,5.10,https://www.foxsports.com/stories/soccer/2026-world-cup-round-32-odds
74,FanDuel via FOX Sports,2026-06-28T00:00:00Z,1.357143,5.00,9.00,https://www.foxsports.com/stories/soccer/2026-world-cup-round-32-odds
75,FanDuel via FOX Sports,2026-06-28T00:00:00Z,2.10,3.10,3.90,https://www.foxsports.com/stories/soccer/2026-world-cup-round-32-odds
78,FanDuel via FOX Sports,2026-06-28T00:00:00Z,3.60,3.40,2.10,https://www.foxsports.com/stories/soccer/2026-world-cup-round-32-odds
77,FanDuel via FOX Sports,2026-06-28T00:00:00Z,1.270270,5.90,11.00,https://www.foxsports.com/stories/soccer/2026-world-cup-round-32-odds
79,FanDuel via FOX Sports,2026-06-28T00:00:00Z,2.15,3.10,3.80,https://www.foxsports.com/stories/soccer/2026-world-cup-round-32-odds
80,FanDuel via FOX Sports,2026-06-28T00:00:00Z,1.277778,5.40,12.00,https://www.foxsports.com/stories/soccer/2026-world-cup-round-32-odds
82,FanDuel via FOX Sports,2026-06-28T00:00:00Z,2.05,3.20,3.90,https://www.foxsports.com/stories/soccer/2026-world-cup-round-32-odds
81,FanDuel via FOX Sports,2026-06-28T00:00:00Z,1.357143,4.80,9.00,https://www.foxsports.com/stories/soccer/2026-world-cup-round-32-odds
84,FanDuel via FOX Sports,2026-06-28T00:00:00Z,1.303030,4.90,12.00,https://www.foxsports.com/stories/soccer/2026-world-cup-round-32-odds
83,FanDuel via FOX Sports,2026-06-28T00:00:00Z,1.909091,3.30,4.30,https://www.foxsports.com/stories/soccer/2026-world-cup-round-32-odds
85,FanDuel via FOX Sports,2026-06-28T00:00:00Z,1.645161,4.00,5.40,https://www.foxsports.com/stories/soccer/2026-world-cup-round-32-odds
88,FanDuel via FOX Sports,2026-06-28T00:00:00Z,3.30,2.90,2.50,https://www.foxsports.com/stories/soccer/2026-world-cup-round-32-odds
86,FanDuel via FOX Sports,2026-06-28T00:00:00Z,1.153846,7.00,20.00,https://www.foxsports.com/stories/soccer/2026-world-cup-round-32-odds
87,FanDuel via FOX Sports,2026-06-28T00:00:00Z,1.740741,3.50,5.10,https://www.foxsports.com/stories/soccer/2026-world-cup-round-32-odds
