match_no,market_name,slug,collected_at,p_home_advance,source_url
73,South Africa vs. Canada,fifwc-rsa-can-2026-06-28,2026-06-28T00:00:00Z,0.15,https://polymarket.com/sports/world-cup/games
76,Brazil vs. Japan,fifwc-bra-jpn-2026-06-29,2026-06-28T00:00:00Z,0.57,https://polymarket.com/sports/world-cup/games
74,Germany vs. Paraguay,fifwc-ger-par-2026-06-29,2026-06-28T00:00:00Z,0.72,https://polymarket.com/sports/world-cup/games
75,Netherlands vs. Morocco,fifwc-nld-mar-2026-06-29,2026-06-28T00:00:00Z,0.45,https://polymarket.com/sports/world-cup/games
78,Côte d'Ivoire vs. Norway,fifwc-civ-nor-2026-06-30,2026-06-28T00:00:00Z,0.26,https://polymarket.com/sports/world-cup/games
77,France vs. Sweden,fifwc-fra-swe-2026-06-30,2026-06-28T00:00:00Z,0.77,https://polymarket.com/sports/world-cup/games
79,Mexico vs. Ecuador,fifwc-mex-ecu-2026-06-30,2026-06-28T00:00:00Z,0.42,https://polymarket.com/sports/world-cup/games
80,England vs. DR Congo,fifwc-eng-cdr-2026-07-01,2026-06-28T00:00:00Z,0.78,https://polymarket.com/sports/world-cup/games
82,Belgium vs. Senegal,fifwc-bel-sen-2026-07-01,2026-06-28T00:00:00Z,0.45,https://polymarket.com/sports/world-cup/games
81,United States vs. Bosnia and Herzegovina,fifwc-usa-bih-2026-07-01,2026-06-28T00:00:00Z,0.71,https://polymarket.com/sports/world-cup/games
84,Spain vs. Austria,fifwc-esp-aut-2026-07-02,2026-06-28T00:00:00Z,0.79,https://polymarket.com/sports/world-cup/games
83,Portugal vs. Croatia,fifwc-prt-hrv-2026-07-02,2026-06-28T00:00:00Z,0.54,https://polymarket.com/sports/world-cup/games
85,Switzerland vs. Algeria,fifwc-che-alg-2026-07-02,2026-06-28T00:00:00Z,0.51,https://polymarket.com/sports/world-cup/games
88,Australia vs. Egypt,fifwc-aus-egy-2026-07-03,2026-06-28T00:00:00Z,0.28,https://polymarket.com/sports/world-cup/games
86,Argentina vs. Cabo Verde,fifwc-arg-cvi-2026-07-03,2026-06-28T00:00:00Z,0.85,https://polymarket.com/sports/world-cup/games
87,Colombia vs. Ghana,fifwc-col-gha-2026-07-03,2026-06-28T00:00:00Z,0.61,https://polymarket.com/sports/world-cup/games
